 51 2002.114985 1.322E-25 2.960E+01.04570.047 3579.97510.67-.003500              2              1                    P 27      476623 5 8 2 2 1 1    53.0   55.0
 51 2003.667981 1.518E-22 1.482E+01.04300.042 2023.37150.67-.003500              1              0                    P 32      476623 5 8 2 2 1 1    63.0   65.0
 51 2003.977307 8.196E-29 4.465E+01.05000.054 5130.79260.67-.003217              3              2                    P 21      467665 5 8 2 2 1 7    41.0   43.0
 51 2006.783612 2.098E-25 2.982E+01.04640.048 3477.58510.67-.003500              2              1                    P 26      477623 5 8 2 2 1 1    51.0   53.0
 51 2008.421529 1.149E-28 4.499E+01.05100.055 5051.74320.67-.002867              3              2                    P 20      467665 5 8 2 2 1 7    39.0   41.0
 51 2008.525448 2.669E-22 1.493E+01.04360.043 1901.13080.67-.003500              1              0                    P 31      476623 5 8 2 2 1 1    61.0   63.0
 51 2011.421043 3.266E-25 3.005E+01.04690.050 3378.95370.67-.003500              2              1                    P 25      477623 5 8 2 2 1 1    49.0   51.0
 51 2012.833683 1.577E-28 4.534E+01.05190.056 4976.43800.67-.002825              3              2                    P 19      467665 5 8 2 2 1 7    37.0   39.0
 51 2013.352446 4.604E-22 1.505E+01.04410.043 1782.66240.67-.003500              1              0                    P 30      486623 5 8 2 2 1 1    59.0   61.0
 51 2016.027134 4.982E-25 3.027E+01.04750.051 3284.08460.67-.003500              2              1                    P 24      477623 5 8 2 2 1 1    47.0   49.0
 51 2017.213621 2.119E-28 4.570E+01.05270.057 4904.87990.68-.002855              3              2                    P 18      467665 5 8 2 2 1 7    35.0   37.0
 51 2018.148830 7.789E-22 1.516E+01.04460.045 1667.97090.67-.003500              1              0                    P 29      486623 5 8 2 2 1 1    57.0   59.0
 51 2020.601738 7.449E-25 3.050E+01.04830.052 3192.98150.67-.002980              2              1                    P 23      477623 5 8 2 2 1 1    45.0   47.0
 51 2021.561199 2.788E-28 4.606E+01.05350.058 4837.07170.69-.002790              3              2                    P 17      467665 5 8 2 2 1 7    33.0   35.0
 51 2022.914455 1.292E-21 1.527E+01.04510.046 1557.06070.67-.003500              1              0                    P 28      486623 5 8 2 2 1 1    55.0   57.0
 51 2025.144711 1.092E-24 3.073E+01.04910.053 3105.64790.67-.003350              2              1                    P 22      477623 5 8 2 2 1 1    43.0   45.0
